fetched_at,last_updated,last_reported,station_id,bikes_available,docks_available,ebikes_available,is_renting,is_returning,is_installed
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3005,11,19,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3006,9,20,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3007,5,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3008,5,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3010,6,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3011,6,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3014,13,15,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3016,3,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3018,13,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3019,7,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3020,7,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3022,8,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3024,7,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3025,5,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3026,3,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3027,6,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3030,11,18,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3032,16,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3033,7,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3034,14,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3035,10,13,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3036,7,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3037,6,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3040,2,1,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3042,10,18,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3045,4,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3046,9,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3047,15,17,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3048,11,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3052,7,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3054,5,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3056,4,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3058,6,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3062,4,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3063,0,22,,0,0,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3064,7,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3065,6,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3066,11,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3068,8,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3069,7,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3074,13,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3075,10,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3076,4,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3077,7,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3078,8,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3079,10,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3081,6,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_3082,13,13,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4202,1,19,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4204,8,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4205,3,13,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4206,12,11,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4207,11,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4208,3,14,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4209,0,23,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4210,1,13,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4211,0,14,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4212,9,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4213,7,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4214,11,15,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4215,9,31,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4216,7,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4217,7,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4220,5,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4227,4,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4245,9,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4246,4,10,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4247,4,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4248,8,11,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4249,8,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4250,10,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4254,4,11,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4255,2,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4266,6,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4267,5,3,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4273,5,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4275,4,11,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4293,5,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4300,6,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4301,5,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4303,6,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4304,4,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4306,4,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4311,12,1,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4312,6,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4313,8,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4314,3,12,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4315,2,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4387,8,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4390,3,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4401,6,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4404,7,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4405,9,4,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4406,5,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4410,5,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4436,2,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4437,4,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4440,5,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4441,1,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4442,5,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4443,3,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4444,2,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4445,9,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4446,2,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4447,7,5,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4448,7,11,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4449,4,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4450,5,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4451,6,3,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4452,4,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4453,2,8,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4454,8,6,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4455,6,9,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4456,8,7,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4457,6,2,,1,1,1
2026-09-08T01:07:32.554443+00:00,2026-09-08T01:07:28+00:00,2026-09-08T01:07:28+00:00,bcycle_lametro_4472,3,11,,1,1,1
